Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
Junio 2020	2.366	- 0,8 %	- 0,6 %	+ 6,4 %
Mayo 2020	2.386	0,0 %	+ 1,0 %	+ 8,1 %
Abril 2020	2.386	+ 0,2 %	+ 3,1 %	+ 9,5 %
Marzo 2020	2.381	+ 0,8 %	+ 3,3 %	+ 9,9 %
Febrero 2020	2.361	+ 2,0 %	+ 3,2 %	+ 8,9 %
Enero 2020	2.315	+ 0,5 %	+ 1,9 %	+ 6,8 %
Diciembre 2019	2.304	+ 0,7 %	+ 1,6 %	+ 7,7 %
Noviembre 2019	2.288	+ 0,7 %	+ 1,4 %	+ 8,0 %
Octubre 2019	2.271	+ 0,1 %	+ 1,7 %	+ 8,0 %
Septiembre 2019	2.269	+ 0,5 %	+ 2,0 %	+ 9,2 %
Agosto 2019	2.257	+ 1,0 %	+ 2,3 %	+ 9,8 %
Julio 2019	2.234	+ 0,5 %	+ 2,5 %	+ 9,0 %
Junio 2019	2.223	+ 0,7 %	+ 2,6 %	+ 10,2 %
Mayo 2019	2.207	+ 1,2 %	+ 1,8 %	+ 9,6 %
Abril 2019	2.180	+ 0,6 %	+ 0,6 %	+ 8,5 %
Marzo 2019	2.167	0,0 %	+ 1,3 %	+ 8,7 %
Febrero 2019	2.168	0,0 %	+ 2,3 %	+ 9,2 %
Enero 2019	2.167	+ 1,3 %	+ 3,0 %	+ 8,5 %
Diciembre 2018	2.140	+ 1,0 %	+ 3,0 %	+ 7,7 %
Noviembre 2018	2.119	+ 0,7 %	+ 3,0 %	+ 7,1 %
Octubre 2018	2.103	+ 1,2 %	+ 2,6 %	+ 6,1 %
Septiembre 2018	2.077	+ 1,0 %	+ 2,9 %	+ 4,9 %
Agosto 2018	2.056	+ 0,3 %	+ 2,1 %	+ 3,5 %
Julio 2018	2.050	+ 1,6 %	+ 2,0 %	+ 3,7 %
Junio 2018	2.018	+ 0,2 %	+ 1,2 %	+ 2,2 %
Mayo 2018	2.013	+ 0,2 %	+ 1,4 %	+ 1,3 %
Abril 2018	2.009	+ 0,7 %	+ 0,6 %	+ 1,4 %
Marzo 2018	1.994	+ 0,4 %	+ 0,3 %	+ 1,8 %
Febrero 2018	1.986	- 0,5 %	+ 0,4 %	+ 2,2 %
Enero 2018	1.997	+ 0,5 %	+ 0,8 %	+ 3,5 %
Diciembre 2017	1.987	+ 0,5 %	+ 0,4 %	+ 2,6 %
Noviembre 2017	1.977	- 0,2 %	- 0,5 %	+ 1,9 %
Octubre 2017	1.982	+ 0,1 %	+ 0,2 %	+ 2,3 %
Septiembre 2017	1.981	- 0,3 %	+ 0,3 %	+ 1,9 %
Agosto 2017	1.987	+ 0,5 %	0,0 %	+ 2,3 %
Julio 2017	1.977	+ 0,1 %	- 0,3 %	+ 2,8 %
Junio 2017	1.974	- 0,7 %	+ 0,8 %	+ 2,8 %
Mayo 2017	1.987	+ 0,3 %	+ 2,2 %	+ 4,3 %
Abril 2017	1.982	+ 1,2 %	+ 2,7 %	+ 3,7 %
Marzo 2017	1.959	+ 0,8 %	+ 1,2 %	+ 1,5 %
Febrero 2017	1.944	+ 0,8 %	+ 0,2 %	+ 0,4 %
